tweet_id,final_rating,dog_predict,retweet_count,favorite_count
892177421306343426,130.0,Chihuahua,6514.0,33819.0
891815181378084864,120.0,Chihuahua,4328.0,25461.0
891689557279858688,130.0,Labrador_retriever,8964.0,42908.0
891327558926688256,120.0,basset,9774.0,41048.0
891087950875897856,130.0,Chesapeake_Bay_retriever,3261.0,20562.0
890971913173991426,130.0,Appenzeller,2158.0,12041.0
890729181411237888,130.0,Pomeranian,16716.0,56848.0
890609185150312448,130.0,Irish_terrier,4429.0,28226.0
890240255349198849,140.0,Pembroke,7711.0,32467.0
890006608113172480,130.0,Samoyed,7624.0,31166.0
889880896479866881,130.0,French_bulldog,5156.0,28268.0
889665388333682689,130.0,Pembroke,8538.0,38818.0
889638837579907072,120.0,French_bulldog,4735.0,27672.0
889531135344209921,130.0,golden_retriever,2321.0,15359.0
889278841981685760,130.0,whippet,5637.0,25652.0
888917238123831296,120.0,golden_retriever,4709.0,29611.0
888804989199671297,130.0,golden_retriever,4559.0,26080.0
888554962724278272,130.0,Siberian_husky,3732.0,20290.0
888202515573088257,130.0,Pembroke,,
888078434458587136,120.0,French_bulldog,3653.0,22201.0
887705289381826560,130.0,basset,5609.0,30779.0
887473957103951883,130.0,Pembroke,18781.0,69871.0
887343217045368832,130.0,Mexican_hairless,10737.0,34222.0
887101392804085760,120.0,Samoyed,6167.0,31061.0
886983233522544640,130.0,Chihuahua,8084.0,35859.0
886736880519319552,130.0,kuvasz,3443.0,12306.0
886366144734445568,120.0,French_bulldog,3316.0,21524.0
886258384151887873,130.0,pug,6523.0,28469.0
885984800019947520,120.0,Blenheim_spaniel,7097.0,33382.0
885528943205470208,130.0,pug,6683.0,36689.0
885311592912609280,130.0,Labrador_retriever,19297.0,0.0
885167619883638784,130.0,malamute,4556.0,22367.0
884925521741709313,120.0,Italian_greyhound,16439.0,68152.0
884876753390489601,130.0,chow,6096.0,28514.0
884562892145688576,130.0,pug,5100.0,24765.0
884441805382717440,140.0,Pembroke,5856.0,27478.0
884162670584377345,120.0,German_shepherd,3128.0,20771.0
883838122936631299,120.0,Doberman,3586.0,22349.0
883482846933004288,50.0,golden_retriever,10407.0,46860.0
883360690899218434,130.0,chow,3825.0,22986.0
883117836046086144,130.0,golden_retriever,6949.0,37914.0
882992080364220416,130.0,Eskimo_dog,4122.0,24445.0
882762694511734784,120.0,Labrador_retriever,5134.0,28903.0
882627270321602560,130.0,Pembroke,6342.0,28382.0
